number of parts,part,link,price
1, ESP32 C3 Super Mini,https://www.aliexpress.com/i/3256805133649154.html?gatewayAdapt=4itemAdapt,1$
1,0.96 Inch OLED SSD1306 ,https://www.aliexpress.us/item/2251832457635357.html?gatewayAdapt=glo2usa4itemAdapt,1.90$
2,KY040 rotary encoder,https://www.amazon.com/JTAREA-KY-040-Encoder-Encoders-Modules/dp/B0D2TTG858/ref=pd_sbs_d_sccl_1_1/143-8031821-7627363?pd_rd_w=ZtrZU&content-id=amzn1.sym.aa738fbd-ad05-4d11-aae2-04b598db6305&pf_rd_p=aa738fbd-ad05-4d11-aae2-04b598db6305&pf_rd_r=6J48XPHJCH211RMF357Z&pd_rd_wg=KkzoY&pd_rd_r=fa40dd9b-9aaa-4482-8e64-983a46c762ac&pd_rd_i=B0D2TTG858&th=1,7$
1,AA Battery Holder Enclosures,https://www.amazon.com/VWEICYY-Battery-Holder-Enclosures-Switch/dp/B0CSFFDN56/ref=sr_1_2_sspa?crid=2QANCYW3SX50O&dib=eyJ2IjoiMSJ9.NNGzSof4uM5GCAQ1ur-gifrTw13XiqgAV-RiANYx8JcxUF7imQpQQCLxSUYrQbxe0sKqPJTcOGN12sabtaLukCW1A56-h0diyAAPKoVB55uz-PdpzqpQKuDYYycn42uxzSrrw-ftDJb3az6O4U5CCD7uY19OkaMhcthabP9Zf_q4R1ohcwCu8XQznT_VhqJ0MxS0zOMrHCs4UoitSGoUbegwtrLvt055MoupMWpxJjA.xjzNjWkXADaKuGSYqVEYEb0V1lqJBFuBvtuLunUfXDI&dib_tag=se&keywords=batter%2Bholder&qid=1780059039&sprefix=batter%2Bholder%2Caps%2C227&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,7$
1,Jumper Wires,https://www.amazon.com/EDGELEC-Breadboard-Optional-Assorted-Multicolored/dp/B07GD1XFWV/ref=sr_1_1_sspa?crid=M1H1AWZ2AZZK&dib=eyJ2IjoiMSJ9.0rGtHdNHPeoDRar659gdlOYIA-gnHmCnsqNeu-EwnERvmqPxt-qGvDxH0QFtjHYGGK5qvFhVF-el2TJRT22fBbXO2F6Jng369ou0v2jf5MdVkBy_K5K-UKwu_7qIlspkHhbU1n61d3nhaiaszUZhVpnEjbt3w3WIMTqyKZJ2nxUU7ZbtFJC9ykmGBqdlHb6wcukvL_O7wEPlMJsy7M0gSnSlgW2LE0-9ZeyRY7z6aMI.Ha7rftM7tQNgbSRPvxQvveP1Ky5DLuC3Ic374L53_XA&dib_tag=se&keywords=jumper%2Bwires&qid=1780059123&sprefix=jumper%2Bw%2Caps%2C257&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,7$
,total,,23.90$
